#,WORDS,MEANINGS,SYNONYMS,ANTONYMS
419,versatile,adoptable to many different functions or activities,adaptable| flexible| protean,immovable| immutable| fixed| unvaried| unvarying| one-sided| 
420,wayward,difficult to control or predict because of willful or perverse behavior,obstinate| obdurate| perverse| defiant| refractory| capricious| whimsical| fickle| erratic| intractable| fractious| contumacious,amenable| biddable| compliant| conformable| docile| obedient
421,alienate,make someone feel isolated or estranged,estrange| detach| divorce,reconcile
422,apathy,"lack of interest, enthusiasm or concern",lethargy| languor| lassitude| torpor,emotion| feeling| sensibility
423,apropos,with reference to; concerning/very appropriate to a particular situation,pertinent| apposite| apt| germane| felicitous,extraneous| immaterial| impertinent| inapplicable| inapposite| irrelative
424,apt,suitable in the circumstances/ having a tendency to do something/ quick to learn,adept| proficient| competent| astute| befitting| felicitous| congruous| judicious| apropos,improper| inapplicable| inapposite| inappropriate| inapt| incongruous
425,cloak,something serving to hide or disguise something,veneer| mantle| shroud| pretext| smokescreen,exhibit| propound| promulge| portray| aggravate| expose| 
426,consensus,a general agreement,concord| concurrence| accord| unanimity| solidarity,conflict| disagreement| dissensus
427,distant,pull or twist out of shape/give an misleading or false account of or impression of,away| deep| far| faraway| far-flung| far-off,close| near| nearby| nigh
428,divergent,tending to be different or develop in different directions,disproportionate| unequal| different| disparate| dissimilar| distant,alike| identical| indistinguishable| kin| kindred| like
429,elated,make someone ecstatically happy,ecstatic| elevated| enrapt| enraptured| entranced| euphoric,depressed
430,enchant,fill someone with great delight/ put under a spell,allure| beguile| bewitch| captivate| charm| fascinate,loose| liberate| extricate| disenthrall| manumit 
431,entrenched,"(of an attitude, habit or belief) firmly established and difficult or unlikely to change; ingrained",ensconce| ingrained| ineradicable| inveterate| immutable| inexorable,command| insist| bid| enjoin 
432,exotic,organizing in or characteristic of a distant foreign country/ attractive/ specially produced,tropical| alien| extravagant| astonishing| bizarre| peculiar,familiar| nonexotic| nonglamorous| plain-Jane| unexotic| unglamorous
433,exploitative,treating others unfairly in order to gain an advantage,abandon| desolate| bleak| derelict,N/A
434,foreseeable,able to foreseen or predicted,certain| destined| expected| fixed| foreordained| foreseen,accidental| casual| chance| fluky| fortuitous| inadvertent
435,forsake,"abandon, renounce",abandon| desert| leave| maroon| quit| strand,reclaim
436,gratify,give someone pleasure or satisfaction,gladden| assuage| pacify| appease,displease
437,heed,pay attention to/ take notice of,advertence| advertency| attention| awareness| cognizance| consciousness,heedlessness| inattentiveness| negligence
438,judicious,"having, showing or done with good judgment",discreet| intelligent| judgmatic| prudent,imprudent| indiscreet| injudicious
439,lucid,expressed clearly; easy to understand,beaming| bedazzling| bright| brilliant| candescent| clear,dim| dull| lackluster| unbright| unbrilliant
440,pertinent,"relevant to a particular matter, apposite",apposite| apt| germane| apropos| appurtenant,extraneous| immaterial| impertinent| inapplicable| inapposite| irrelative
441,propriety,conformity to conventionally accepted standards of behavior/ the condition of being right,decorum| rectitude| demureness| gentility| orthodoxy| probity| tenue,impropriety| indecency| indecorum
442,scintillation,shining brightly/ brilliantly clever,exhilarating| invigorating| vivacious| coruscating| effervescent| ebullient,blackness| dark| darkness| dimness| dusk| duskiness
443,sensational,causing great public interest and excitement,startling| astonishing| appalling| scandalous| momentous,nonsensational
444,sophisticated,"having, revealing or involving a great deal of worldly experience and knowledge of fashion or cultu",cosmopolitan| smart| worldly| worldly-wise,guileless| ingenuous| innocent| naive| unsophisticated| untutored
445,strife,angry or bitter disagreement over fundamental issues,conflict| disaccord| discord| discordance| discordancy| disharmony,accord| agreement| concord| concordance| harmony| peace
446,understated,presented or expressed in a subtle and effective way,conservative| low-key| muted| quiet| repressed| restrained,flamboyant| flaring| flashy| garish| gaudy| glitzy
447,unscrupulous,having or showing no moral principles; not honest or fair,cutthroat| immoral| Machiavellian| unconscionable| unethical| unprincipled,ethical| moral| principled| scrupulous
448,veracity,conformity to facts; accuracy/ habitual truthfulness,truth| accuracy| fidelity| scrupulousness| probity,deceit| deceitfulness| dishonesty| lying| mendaciousness| mendacity
449,virulent,(of a disease or poison) extremely severe or harmful in its effects/ bitterly hostile,pernicious| baneful| vitriolic| malicious| malevolent| malignant| malign| vindictive| rancorous| acrimonious| mordant| scathing,benevolent| benign| benignant| loving| unmalicious
450,violate,(of a substance) easily evaporated at normal temperatures / liable to change rapidly and unpredicta,erratic| fraught| eruptive| turbulent| mutable| protean,comply (with)| conform (to)| follow| mind| obey| observe
451,antedate,precede in time/ come before in date,precede| predate| anticipate,follow| postdate| succeed
452,banish,send someone away from a country as an official punishment/ get rid of,expatriate| extradite| repatriate| excommunicate| ostracize| disperse| scatter| dissipate| oust,cherish| foster| protect| consider| encourage| locate| 
453,bridle,used to control movement/ show one's anger,curb| subdue| stifle,lose
454,comply,act in accordance with a wish or command,satisfy| meet| observe,differ| disagree| dissent| nonconcur| clash| collide
455,crestfallen,sad and disappointed,despondent| dejected| desolate| doleful| forlorn| abashed| abject| dolorous,blissful| buoyant| buoyed| cheerful| cheery| chipper
456,curtain,piece of material/ a disastrous outcome,shroud| mask,birth| nativity
457,elucidate,make something clear/ explain,illuminate| explicate| annotate| untangle,obscure
458,evade,escape or avoid something especially by guile or trickery,elude| avoid| dodge| sidestep,occupy| seize| fill| hold 
459,feckless,"lacking initiative or strength of character, irresponsible",inept| slothful| indolent| apathetic| lousy,effective| effectual| efficacious| efficient| expedient| operant
460,fester,"(of wound) become septic, (of feeling) become worse,",rankle| chafe| smoulder,N/A
461,iconoclastic,criticizing cherished beliefs or institutions,heretical| malcontent| subversive| renegade| mutinous| maverick,conforming| conformist| conventional| orthodox
462,immure,enclose or confine against their will,confine| intern| incarcerate,discharge| free| liberate| release
463,improvise,create and perform spontaneously or without prep/ make from whatever is available,ad lib| ad hoc| improvisatory| extempore| spontaneous| contrive| concoct,prudent| careful| saving| economical| provident
464,inhibit,prevent/ make someone self-conscious/ forbid to function,impede| fetter| stifle| smother| thwart,aid| assist| facilitate| help
465,inscrutable,impossible to understand or interpret,unfathomable| perplexing| baffling| bewildering| abstruse| arcane| sibylline| wildering,accessible| clear| nonambiguous| obvious| plain| unambiguous
466,lionize,give a lot of public attention and approval to someone,exalt| extol| venerate| eulogize| adulate| aggrandize| laud| panegyrize,blaspheme| desecrate| profane| violate| affront| dishonor
467,monotonous,"dull, tedious, lacking in variety",tedious| humdrum| mechanical| prosaic| colourless| monochrome,absorbing| engaging| engrossing| gripping| interesting| intriguing
468,peculiar,strange/ particular; special/ belonging exclusively to,individual| idiosyncratic| conspicuous| like,common| customary| normal| ordinary| typical| unexceptional
469,premeditate,think out or plan beforehand,cold-blooded| wilful| purposive| prepense,extemporize| hazard 
470,profligate,"wasteful in the use of resources/ licentious, dissolute",spendthrift| improvident| prodigal| wanton,conserving| economical| economizing| frugal| penny-pinching| scrimping
471,recondite,restore/ settle/ show to be compatible/accept,abstruse| arcane| esoteric| abstract| unfathomable,shallow| superficial
472,refine,remove impurities/ make minor changes to improve,temper| elaborate| consummate| tweak| sift| rectify,worsen
473,relinquish,voluntarily cease to keep or claim/ give up,forswear| eschew| abandon| abdicate,frieze| retain| assume| enforce| vindicate| assert| 
474,ruminate,think deeply about something,contemplate| consider,unbend| relax| idle| gape| woolgather 
475,skittish,"(of animal) easily scared, (of person) unpredictable, playfully frivolous",restive| fidgety| frisky| coltish| coquettish| frolic| wanton,imperturbable| nerveless| unexcitable| unflappable| unshakable
476,superfluous,"unnecessary, especially through being more than enough/ surplus, redundant",surplus| redundant| gratuitous,necessity| necessary| requirement| shortcoming| deficiency 
477,synoptic,of or forming general summary/ taking or involving a comprehensive mental views,N/A,N/A
478,thorough,complete with regard to every detail,exhaustive| meticulous| scrupulous| assiduous| conscientious| painstaking| sedulous| sweeping,compendious| summary
479,visionary,thinking about or planning the future with imagination,ingenious| perceptive| intuitive| shrewd| utopian| quixotic| unfeasible,clear-eyed| clear-sighted
480,vociferous,"expressing by vehement opinions, loud and forceful/ outspoken",vehement| forthright| candid| insistent| emphatic| clamorous| strident,inconversance| incapacity| leisure| nonemployment 
481,acclaim,praise enthusiastically and publicly,exalted| adulate| eulogize| lionize| extol,law| purpose| appointment| ordainment| provision| preparation 
482,ascertain,"find (something) out for certain, make sure of",deduce| intuit| discern| comprehend| savvy| cognize,miss| overlook| pass over
483,assertive,having or showing a confident and forceful personality,authoritative| insistent| firm| assaultive| feisty,ambitionless| low-pressure| nonassertive| unaggressive| unambitious| unassertive
484,bogus,not genuine or true,spurious| fraudulent| sham| feigned| fictitious| ersatz| phoney,genuine| natural| real
485,cataclysmic,large-scale and violent,catastrophic| calamitous| ruinous,reason| conscience| commonsense 
486,circumscribe,restrict (something) within limits,curb| restrain| regulate| control,exceed
487,complementary,combining in such a way as to enhance or emphasize the qualities of each other or another,harmonizing| complementing| reciprocal| interdependent,noncomplementary| nonreciprocal
488,contentious,"controversial, quarrelsome",vexed| ambivalent| equivocal| factious (of a person)| pugnacious (of a person)| bellicose (of a person)| belligerent (of a person)| petulant (of a person)| truculent (of a person),nonaggressive| nonbelligerent| pacific| peaceable| peaceful| unbelligerent
489,disingenuous,not candid or sincere/ typically pretending that one,dissembling| mendacious| unscrupulous| shifty| subtle,candid| genuine| heartfelt| honest| sincere| undesigning
490,divulge,make known (private or sensitive info)/ disclose/ reveal,reveal| impart| broadcast| proclaim| promulgate,cloak| conceal| cover (up)| enshroud| hide| mask
491,dogmatic,inclined to law down principles as underlying true/ highly opinionated,peremptory| imperative| doctrinaire| imperious| pontifical| dictatorial| rigid,latitudinarian| undoctrinaire| undogmatic
492,fallacious,based on a mistaken belief,erroneous| delusory| specious| spurious| fabricated| distorted| phoney,logical| rational| reasonable| sound| valid| well-founded
493,foolhardy,recklessly bold or harsh,rash| heedless| imprudent| impetuous| hasty| temerarious,careful| cautious| circumspect| guarded| heedful| prudent
494,hinder,"obstruct/ (body part) rear, hind",impede| inhibit| thwart| forestall| curtail| encumber,anterior| fore| forward| front| frontal
495,impair,weaken or damage,diminish| impede| undermine| vitiate,doctor| fix| mend| patch| rebuild| recondition
496,impugn,"dispute the truth, call into question/ challenge",challenge| question| dispute,advocate| champion| defend| excuse| forgive| justify
497,incessant,continuing without pause or interruption,ceaseless| unabating| interminable| perpetual| persistent| recurrent,discontinuous| noncontinuous
498,inclined,sloping/ willing to do something/ make someone disposed to do something,minded| predisposed| bias (make someone)| prejudice (make someone),disinclined| unamenable| unwilling
499,inveterate,long-established and unlikely to change,ingrained| entrenched| congenital| ineradicable,incipient| undeveloped| unformed 
500,miserly,of or characteristic by of a miser/(quantity) pitiably small/ inadequate,parsimonious| avaricious| ascetic| puritanical| stingy| lamentabl (of a quantity)| stingy (of a quantity)| piddling (of a quantity)| exiguous (of a quantity),bounteous| bountiful| charitable| freehanded| generous| liberal
501,patent,government authority or license/ easily recognizable,copyright| charter| franchise| conspicuous| flagrant| palpable,burden| duty| obligation| responsibility
502,petulant,bad-tempered/ peevish/ childishly sulky,waspish| irascible| fractious| captious| churlish,large| large-hearted| noble| generous| chivalrous| magnificent| 
503,pithy,"(of plant) containing much pith, (of language or style) terse and vigorously expressive",pettish (of language or style)| succinct (of language or style)| compendious (of language or style)| epigrammatic (of language or style)| laconic (of language or style)| trenchant (of language or style),circuitous| circumlocutory| diffuse| long-winded| prolix| rambling
504,pithy,"(of plant) containing much pith, (of language or style) terse and vigorously expressive",pettish (of language or style)| succinct (of language or style)| compendious (of language or style)| epigrammatic (of language or style)| laconic (of language or style)| trenchant (of language or style),circuitous| circumlocutory| diffuse| long-winded| prolix| rambling
505,sanctimonious,making a show of being morally superior to other people/ self-righteous,churchy| pious| unctuous| superior| hypocritical,artless| candid| genuine| heartfelt| honest| sincere
506,sound,not damaged/ good judgment/ competent/ an idea or impression conveyed by words,cogent| plausible| sturdy| whole,soullessness| irrationality| unintellectuality| deadness| unfeelingness| spiritlessness| 
507,tarnish,make or become less valuable or respected,blemish| calumniate| debase| stigmatize| vitiate| plausible,N/A
508,tepid,lukewarm/ showing little enthusiasm,apathetic| perfunctory| desultory,eager| enthusiastic| hearty| keen| passionate| warm
509,upbraid,find fault with/ scold,reprimand| admonish| chastise| berate| lambast| censure,commend| praise| eulogize| laud| compliment| applaud 
510,vexation,"the state of being annoyed, frustrated or worried",petulance| umbrage| perturbation| aggravation,pleasure| enjoyment
511,abet,encourage or assist someone to do something wrong,champion| sanction| succour| further| expedite,hinder
512,accessible,able to be reached or entered,reachable| attainable| intelligible| penetrable,inaccessible| unattainable| unavailable| unobtainable
513,acquisitive,excessively interested in acquiring money or materials,covetous| avaricious| avid| rapacious| mercenary| grabby,intuition| inspiration| genius 
514,amalgamate,combine or unite to form one organization or structure,coalesce| consolidate| affiliate,break down| break up| separate| unmix
515,attenuate,"reduce the force, effect or value of",diminished| impaired| enervated,appreciate| enhance| mark up| upgrade
516,augment,"make something greater by adding to it, increase",exacerbate| aggravate| inflame| compound| ameliorate,abate| decrease| de-escalate| diminish| downsize| dwindle
517,aversion,a strong dislike or disinclination,abhorrence| loathing| antipathy| repugnance| disrelish,appetite| favor| fondness| like| liking| partiality
518,blithe,showing a casual and cheerful indifference considered to be callous or improper,casual| indifferent| nonchalant,dour| gloomy| glum| morose| saturnine| sulky
519,contempt,the feeling that a person or a thing is worthless or beneath consideration,disdain| opprobrium| derision| mockery| loathing| abhorrence,admiration| esteem| estimation| favor| regard| respect
520,dawdle,"waste time, be slow",linger| idle| procrastinate| tarry,barrel| bolt| career| course| dash| fly
521,deflect,cause to change direction/ cause to deviate from intended,divert (something)| avert (something)| ricochet (of an object)| diverge(of an object),continue| proceed| straighten| unbend| prolong| produce 
522,discount,regard as being unworthy of consideration,disregard| overlook| gloss over,accession| addition
523,dissident,in opposition of official policy/ dissenting,dissenting| rebelling| revolutionary,conforming| conformist| conventional| orthodox
524,efficacious,"successful in producing a desired result, effective",effectual| constructive| fruitful| potent,fruitless| ineffective| ineffectual| inefficient| inoperative| unfruitful
525,equitable,fair and impartial,unbigoted| egalitarian| scrupulous| neutral,biased| ex parte| inequitable| nonobjective| one-sided| partial
526,erratic,"not even or regular in pattern or movement, unpredictable",turbulent| protean| mercurial| capricious| whimsical| fickle| wayward| fluctuant,methodical| nonrandom| orderly| organized| regular| systematic
527,industrious,diligent and hardworking,assiduous| sedulous| painstaking| pertinacious| zealous| laborious,idle| inactive| unbusy| unemployed| unoccupied
528,inform,give facts or information,prime| enlighten| apprise,misjudge| misinstruct| mislead| deceive| hoodwink| mystify| 
529,irksome,"irritation, annoying",vexing| galling| exasperating| grating| pesky| pestilent,interest| rivet| animate| refresh| inspirit| irksome| 
530,manacle,shackles/ handcuffs,fetters| bonds| darbies| gyves,unbind| unfetter| unchain 
531,modest,"not large, elaborate or expensive/ self-deprecating",ordinary| simple| homely| unimposing,coarse| dirty| filthy| immodest| impure| indecent
532,noxious,"harmful, poisonous or very unpleasant",virulent| pernicious| putrid| rancid| bogging,healthful| healthy
533,pernicious,having a harmful effect especially in a gradual way,deleterious| inimical| malevolent| noxious| malefic| pestilent| baneful,anodyne| benign| harmless| hurtless| innocent| innocuous
534,predicament,"a difficult, unpleasant or embarrassing situation",plight| quandary| pickle| scrape| dilemma,N/A
535,proficient,competent or skilled in doing or using something,adept| adroit| deft| dexterous| apt| consummate| compleat,amateur| amateurish| inexperienced| inexpert| jackleg| unprofessional
536,prolix,(of speech or writing) using or containing too many words; tediously lengthy,protracted| laborious| ponderous| v.ose| maundering,compact| concise| crisp| pithy| succinct| terse
537,scorn,contempt/ refuse to do something because one is to proud,derision| disdain| mockery| contumely,admiration| esteem| estimation| favor| regard| respect
538,subordinate,of less or secondary importance,subservient| ancillary| auxiliary| peripheral| marginal,greater| higher| major| more| primary| prime
539,unseemly,not proper or appropriate,indecorous| unbefitting| coarse,appropriate| becoming| befitting| correct| decorous| felicitous
540,veritable,"used for emphasis, often to quality a metaphor",authentic| classic| genuine| real| absolute| all-out,doubtful| dubious| equivocal| qualified| questionable| restricted
541,acolyte,an assistant or follower,retainer| votary| satellite| pursuivant,coryphaeus| leader
542,anoint,rubbing with oil/ choose as successor to or leading candidate for a position,consecrate| sanctify| bless| ordain| hallow,foster| protect| conserve| confirm| maintain| enact| 
543,base,"use as the foundation or starting point of something/ sordid, improper, low",form| establish| ground| root,N/A
544,coercion,the action or practice of persuading someone to do something by using force or threat,compulsion| duress| oppression| enforcement,permit| persuade| urge| instigate| encourage| liberate| 
545,coin,"invent, create/ money",fabricate| devise| conceive| originate,misform| misconstrue 
546,cunning,skill in achieving one's ends by deceit,guileful| shrewd| astute| canny| deft| adroit| dexterous| subtle,artless| guileless| ingenuous| innocent| undesigning
547,discomfort,make someone feel uneasy or embarrassed,abashment| flusteredness| perturbation| mortification,calm| compose| quiet| settle| soothe| tranquilize
548,dissent,disagreement,demur| strife| wrangling| bickering,accord| agreement| concord| concordance| harmony| peace
549,distill,purify / extract the essential meaning or most important aspects of,dribble| drip| drop| trickle,absorb| condense| retain| suck| hold 
550,dubious,"hesitating/ not to be relied upon, morally suspect",vacillating| irresolute| sceptical| questionable| shady,certain| hands-down| incontestable| indisputable| indubitable| questionless
551,ebullient,cheerful and full of energy,exuberant| buoyant| jaunty| exhilarated| elated| euphoric| jubilant| effervescent| vivacious,indolent| lazy| unambitious| inert| lethargic| sleepy
552,facetious,treating serious issues with deliberately inappropriate humor; flippant,glib| frivolous| waggish| whimsical| jesting| jocular,earnest| sincere
553,fallible,capable of making mistakes or being wrongs,erring| errant| flawed| weak,faultless| flawless| impeccable| perfect| complete| entire
554,florid,having red or flushed complexion/ excessively intricate or elaborate,sanguine| erubescent| embellished| extravagant| flamboyant| baroque| ostentatious| grandiloquent| rhetorical| bombastic| convoluted,austere| plain| severe| stark| unadorned
555,gawky,nervously awkward and ungainly,gauche| maladroit| inept| bashful| nervy,coordinated| graceful
556,inveigle,persuade someone to do something by means of deception or flattered,entice| ensnare| beguile| bamboozle| blandish,alert| caution| forewarn| ward (off)| warn| drive (away or off)
557,jettison,abandon or discard/ throw or drop,abandon| relinquish,earnest| seriousness| gravity 
558,mendacity,untruthfulness,dissembling| hypocrisy| duplicity| perjury| perfidy,truth
559,munificent,characterized by great generosity,bountiful| magnanimous| philanthropic| unstinted| bounteous,cheap| close| closefisted| costive| illiberal| mingy
560,naive,"showing lack of experience, innocent",artless| ingenuous| gullible| credulous,cosmopolitan| experienced| knowing| sophisticated| worldly| worldly-wise
561,noble,belonging by rank/ high moral principles/superior quality,exceptional| formidable| sublime| magnanimous| lofty| exalted| elevated| sublime,baseborn| common| humble| ignoble| low| lower-class
562,parochial,"narrow-minded, limited outbreak or scope/ church",provincial| insular| localist| myopic,broad-minded| catholic| cosmopolitan| liberal| open| open-minded
563,pedestrian,"lacking excitement, dull/ walking rather than vehicle",plodding| tedious| monotonous| commonplace| workaday,unaffected| slipshod 
564,prevaricate,speak or act in an evasive way,vacillate| quibble| cavil| hedge| equivocate,affirm| asseverate| maintain| reiterate 
565,prime,of first importance/ most suitable/ hey-day,cardinal| pre-eminent| archetypal| superlative| quintessential,atrocious| awful| execrable| lousy| pathetic| poor
566,radical,"far-reaching, thorough, revolutionary",revolutionary| stringent| rigorous| extremist| fanatical,middle-of-the-road| nonrevolutionary| unrevolutionary
567,recrudescence,the recurrence of an undesirable condition,recurrence| renewal| burst| flare| flare-up| flash,calm| doldrums| slump
568,temporal,"secular, worldly, non-spiritual",secular| profane| mundane| carnal,heavenly| nontemporal| unearthly| unworldly
569,transitory,not permanent,transient| ephemeral| evanescent| fugitive| fugacious,ceaseless| dateless| deathless| endless| enduring| eternal
570,viable,capable of working successfully feasible,workable| feasible| expedient| judicious| doable,hopeless| impossible| impracticable| infeasible| nonviable| unattainable
571,abreast,side by side and facing the same way,alongside| level| abeam,ignorant| unacquainted| unfamiliar| uninformed| unknowledgeable
572,confound,cause surprise or confusion/ prove theory wrong/ defeat/ mixed up with something else,bemuse| perplex| astonish| dismay| bewilder| negate (a theory)| contradict (a theory)| discredit (a theory),difference| differentiate| discriminate| distinguish| separate
573,digression,a temporary departure from the main subject in speech or writing,excursus| divergence| meandering| maundering| apostrophe,N/A
574,discrepancy,an illogical or surprising lack of compatibility or inconsistency,disparity| divergence| dissimilitude| disaccord| discordance| incongruity,alikeness| analogousness| analogy| community| likeness| resemblance
575,duplicitous,"deceitful, (law) containing more than one allegation",bent| crooked| deceptive| dishonest| double-dealing| fast,aboveboard| honest| straight
576,expedient,convenient and practical although possibly improper or immoral,gainful| pragmatic| prudent| judicious| propitious,impolitic| imprudent| inadvisable| inexpedient| injudicious| unwise
577,fabricate,invent in order to deceive/ construct or manufacture especially from prepared component,falsify| invent| concoct| contrive,demount| disassemble| dismantle| dismember| knock down| strike
578,glum,"looking or feeling dejected, morose, gloomy",downcast| despondent| crestfallen| desolate| doleful| melancholy| saturnine,bright| cheerful| cheering| cheery| comforting| cordial
579,harbinger,a person or thing that announces or signals the approaches of another,herald| prelude| portent| presage| precursor,reporter| narrator| relator| historian| follower| attendant 
580,intrinsic,"belonging naturally, essential",congenital| native| ingrained| permanent| fundamental| constitutive,adventitious| extraneous| extrinsic
580,intrinsic,generosity in bestowing money or gifts,congenital| native| ingrained| permanent| fundamental| constitutive,adventitious| extraneous| extrinsic
582,libertine,a person who freely indulges in sensual pleasures without moral principles,adulterer| debauchee| voluptuary| hedonist| profligate| wanton| reprobate,pure| uncorrupt| uncorrupted
583,malfeasance,"wrongdoing, especially by a public official",deceit| duplicity| falsity,N/A
584,manifest,"obvious/ demonstrate/ become apparent through the appearance of a symptoms, (of ghost) appear",betray| evince| reveal| substantiate| corroborate,ambiguous| clouded| cryptic| dark| enigmatic| equivocal
585,minute,insignificant/ (of investigation) taking the smaller points into consideration/ summarized record,instant| jiffy,monstrous| enormous| huge| inexact| superficial| general| 
586,modish,following what is currently popular and fashionable,stylish| contemporary| voguish| sassy,dowdy| out| outmoded| styleless| unchic| uncool
587,nascent,just coming into existence and beginning to display signs of future potential,embryonic| incipient| fledgling| burgeoning| naissant,adult| full-blown| full-fledged| mature| ripe| ripened
588,perennial,everlasting/ permanently engaged in a specified role or way of life,perpetual| eternal| ceaseless| abiding,periodical| occasional| intermittent| failing| deficient| uncertain 
589,pious,devoutly religious/hypocrite/ (of a hope) sincere but not likely to be fulfilled,reverent| saintly| faithful| sanctimonious,disloyal| faithless| false| fickle| inconstant| perfidious
590,providential,occurring at a favorable time/ involving divine foresight or providence,auspicious| benign| felicitous| expedient| miraculous,hapless| ill-fated| ill-starred| luckless| star-crossed| unfortunate
591,prowess,expertise in a particular activity or field/ bravery in battle,adroitness| dexterity| deftness| finesse| gallantry| heroism,cowardice| cowardliness| cravenness| dastardliness| poltroonery| spinelessness
592,schism,split between strongly opposed sections or parties,rupture| severance| estrangement| alienation| chasm| discord,accord| agreement| concord| concordance| harmony| peace
593,slander,"defame, making false statements",calumny| aspersions| vilification| traducement| defame (v.)| malign (v.)| traduce (v.)| vilify (v.)| decry (v.),praise| laud| honor| vindicate| defend| panegyrize| 
594,stalwart,"loyal, reliable and hardworking",staunch| devoted| vigorous| steadfast| resolute,chicken| chickenhearted| chicken-livered| coward| cowardly| craven
595,supplicate,ask or beg something earnestly or humbly,entreat| beseech| implore| solicit| importune,order| command| insist| dictate| demand 
596,terse,"sparing in the use of words, abrupt",abrupt| succinct| pithy| economical| laconic| epigrammatic,circuitous| circumlocutory| diffuse| long-winded| prolix| rambling
597,tirade,a long angry speech of criticism or accusation,diatribe| polemic| harangue| censure| berating| vilification,sober| temperate 
598,universal,applicable to all cases/ ubiquitous,ubiquitous| comprehensive| omnipresent| rampant| pervasive,individual| particular
599,vanquish,"defeat thoroughly, conquer",trounce| annihilate| clobber| pulverize| subjugate,succumb| yield| faint| fail 
600,woeful,very bad/ causing sorrow or misery,atrocious| deplorable| lamentable| abysmal| dire,blissful| buoyant| buoyed| cheerful| cheery| chipper
601,abject,experienced or present to the maximum degree (of bad) extremely unpleasant and degrading,piteous (of a situation or condition)| stark (of a situation or condition)| woeful (of a situation or condition)| lamentable (of a situation or condition)| atrocious (of a situation or condition)| obsequious (of a person or their behaviour)| servile (of a person or their behaviour)| sycophantic (of a person or their behaviour)| craven (of a person or their behaviour),support| sustain| cherish| promote| continue| confirm| 
602,amicable,characterized by friendliness,cordial| fraternal| harmonious,disagreeable| discordant| disharmonious| disunited| incompatible| inharmonious
603,animosity,strong hostility,antipathy| animus| aversion| acrimony| rancour| abhorrence| malevolence,amity
604,aver,"state or assert to the case, declare/ allege as fact in a support of a plea(LAW context)",profess| protest| avouch| asseverate,deny| gainsay
605,barrage,"overwhelming number of questions, criticisms etc",abundance| plethora| profusion| torrent| spate,loss| misprofit 
606,cathartic,providing psychological belief through the open expression of strong emotions,purgative| purging| purifying| exorcising| abreactive,repressive| unaffecting| unemotional| unimpressive
607,decipher,succeed in understanding interpreting or identifying,discern| fathom| penetrate| apprehend| untangle,cipher| code| encipher| encode| encrypt
608,delusion,deception misleading / mental disorder,deluding| duping| fallacy| chimera,truth| verity
609,dispense,supply or release/ get rid of,provide| relinquish| ren.ce,misallocate
610,eloquent,clearly expressing or indicating something,sensitive| revealing| significant| indicative,inarticulate| ineloquent| unvocal
611,enthrall,"capture the fascinated attention of, charm, enchant",arrest| bedazzle| catch up| enchant| fascinate| grip,eject| exclude| deny| debar| annoy| weary| 
612,eradicate,destroy completely,suppress| extirpate| obliterate| abolish| expunge,implant| import| instil| foster| propagate| cherish| 
613,fledgling,"immature, inexperienced, underdeveloped, emerging",burgeoning| embryonic| nascent| incipient,old hand| old-timer| vet| veteran
614,fortitude,courage in pain or adversity,intrepidity| stoicism| forbearance| tenacity| pertinacity| resolution,spinelessness
615,fortuitous,happening by chance rather than intention,haphazard| providential| serendipitous| expedient| felicitous| apt,hapless| ill-fated| ill-starred| luckless| star-crossed| unfortunate
616,goad,provoke or annoy someone as the stimulate on action,badger| incite| stimulate| inflame| impel| induce,counterincentive| disincentive
617,imminent,about to happen,impending| forthcoming| menacing| anticipated,late| recent
618,incontrovertible,not able to be denied or disputed,irrefutable| unassailable| unequivocal| manifest| emphatic| apodictic,answerable| arguable| contradictable| controvertible| debatable| disputable
619,itinerant,traveling from place to place,peripatetic| wayfaring| vagrant| vagabond| restless| errant,N/A
620,magnanimous,generous or forgiving,benevolent| beneficent| munificent| altruistic| chivalrous,base| debased| degenerate| degraded| ignoble| low
621,meritorious,deserving reward or praise,praiseworthy| laudable| exemplary,censurable| discreditable| illaudable| reprehensible
622,mutiny,open rebellion against the proper authorities,revolution| insurgence| subversion| sedition| anarchy,obedient| loyal| submissive 
623,paradoxical,seemingly absurd or self-contradicting,incongruous| anomalous| baffling| bewildering| inexplicable,self-evident| axiomatic| lucid| obvious 
624,perseverance,persistence in doing something despite difficulty,tenacity| resolution| doggedness| pertinacity| assiduity| intransigence,doubt| incertitude| indetermination| uncertainty| aversion| disinclination
625,render,provide/ make/ cause to become/ represent/ translate/ perform/ melt down/ cover,deliver| distribute| provide| restore,originate
626,repertoire,collection/ stock of skills or types of behavior that a person habitually does,tender| repertory| stockpile| relinquish,impact| stroke| shock| collision| contact 
627,resilient,able to withstand or recover quickly from difficulty conditions,buoyant| irrepressible| adaptable| flexible,inelastic| inflexible| nonelastic| rigid| stiff
628,resolute,"admirably purposeful, determined",adamant| stalwart| pertinacious| tenacious| dogged| obstinate| obdurate| intransigent| mettlesome| indurate,faltering| hesitant| indecisive| irresolute| undetermined| unresolved
629,supple,flexible/ easily manipulated,limber| deft| pliant| malleable| plastic| 0,inflexible| rigid| stiff| stiffened
630,valor,great courage in the face of danger,bottle| bravery| courage| courageousness| daring| daringness,cowardice| cowardliness| cravenness| dastardliness| poltroonery| spinelessness
631,cumbersome,"unwieldy, unmanageable, complicated",complex| inefficient| wasteful| slow| lumbersome,handy
